date,wsp
1/1/2008,10
1/2/2008,14
1/3/2008,15
1/4/2008,7
1/5/2008,8
1/6/2008,9
1/7/2008,10
1/8/2008,13
1/9/2008,16
1/10/2008,16
1/11/2008,15
1/12/2008,19
1/13/2008,12
1/14/2008,11
1/15/2008,11
1/16/2008,13
1/17/2008,20
1/18/2008,24
1/19/2008,12
1/20/2008,22
1/21/2008,21
1/22/2008,20
1/23/2008,13
1/24/2008,16
1/25/2008,13
1/26/2008,30
1/27/2008,17
1/28/2008,15
1/29/2008,20
1/30/2008,20
1/31/2008,18
2/1/2008,15
2/2/2008,15
2/3/2008,12
2/4/2008,10
2/5/2008,10
2/6/2008,15
2/7/2008,12
2/8/2008,18
2/9/2008,14
2/10/2008,15
2/11/2008,15
2/12/2008,15
2/13/2008,15
2/14/2008,18
2/15/2008,13
2/16/2008,15
2/17/2008,21
2/18/2008,22
2/19/2008,19
2/20/2008,15
2/21/2008,17
2/22/2008,15
2/23/2008,13
2/24/2008,16
2/25/2008,18
2/26/2008,14
2/27/2008,20
2/28/2008,11
2/29/2008,9
3/1/2008,8
3/2/2008,17
3/3/2008,16
3/4/2008,13
3/5/2008,12
3/6/2008,4
3/7/2008,7
3/8/2008,23
3/9/2008,19
3/10/2008,12
3/11/2008,14
3/12/2008,20
3/13/2008,25
3/14/2008,17
3/15/2008,17
3/16/2008,16
3/17/2008,15
3/18/2008,13
3/19/2008,13
3/20/2008,10
3/21/2008,6
3/22/2008,15
3/23/2008,15
3/24/2008,5
3/25/2008,6
3/26/2008,5
3/27/2008,5
3/28/2008,15
3/29/2008,11
3/30/2008,18
3/31/2008,10
4/1/2008,14
4/2/2008,12
4/3/2008,0
4/4/2008,12
4/5/2008,13
4/6/2008,11
4/7/2008,13
4/8/2008,16
4/9/2008,13
4/10/2008,23
4/11/2008,15
4/12/2008,12
4/13/2008,17
4/14/2008,16
4/15/2008,7
4/16/2008,6
4/17/2008,8
4/18/2008,13
4/19/2008,9
4/20/2008,15
4/21/2008,6
4/22/2008,15
4/23/2008,12
4/24/2008,10
4/25/2008,11
4/26/2008,11
4/27/2008,10
4/28/2008,0
4/29/2008,8
4/30/2008,0
